artist_name,num_songs,tempo,loudness,energy
Agnieszka Chylińska,3,135.32933333333335,-6.084333333333333,0.8103333333333333
Agnostic Front,3,124.93900000000001,-5.251666666666666,0.9363333333333334
Agonoize,8,117.19024999999999,-7.9113750000000005,0.892375
Agoraphobic Nosebleed,6,140.81316666666666,-3.158333333333333,0.9786666666666667
Agoria,3,123.66366666666666,-10.054,0.6113333333333334
Agua de Annique,1,121.046,-10.876,0.354
Aiden,5,130.8394,-5.3128,0.9221999999999999
Aim,2,119.00899999999999,-6.2225,0.5145
Aimee Mann,15,125.43606666666666,-8.454333333333333,0.5250666666666667
Air,48,130.57193750000002,-10.897916666666667,0.5001741666666667
Air Formation,2,105.834,-9.014,0.462
Air France,8,130.13325,-10.409125,0.693125
Air Supply,3,98.10966666666667,-6.826666666666667,0.7003333333333334
Air Traffic,8,128.232875,-5.650625,0.6915
Airbourne,3,160.677,-2.693,0.9660000000000001
Airiel,1,155.048,-4.334,0.967
Airlock,1,128.017,-12.502,0.349
Aisha Duo,2,138.6765,-18.7865,0.224
Akcent,1,125.024,-8.486,0.763
Akercocke,3,134.28366666666668,-6.814666666666667,0.9113333333333333
Akira Kiteshi,1,70.473,-6.52,0.924
Akira Yamaoka,4,124.82674999999999,-17.76375,0.36637000000000003
Akissforjersey,1,86.144,-5.856,0.956
Akon,12,114.65066666666667,-5.97,0.66125
Al Di Meola,5,105.63759999999999,-11.2274,0.666
Al Green,7,100.54114285714286,-14.016571428571428,0.36428571428571427
Al Hirt,1,173.625,-4.961,0.847
Al Martino,1,124.757,-13.489,0.444
Al Stewart,1,117.033,-8.242,0.635
Alabama,1,103.606,-11.882,0.421
Alabama Shakes,7,111.92871428571428,-7.009142857142857,0.5947142857142858
Alain Bashung,1,117.671,-8.207,0.769
Alain Souchon,1,75.774,-14.5,0.337
Alamo Race Track,1,180.013,-5.042,0.635
