artist_name,total_artist_plays,artist_song_count
Boys Like Girls,45163,15
Boys Night Out,5662,7
Boys Noize,42940,12
Boyz II Men,3062,4
Brad,78,1
Brad Kane,162,1
Brad Paisley,28404,4
Bradley Cooper,44,1
Braid,176,3
Brain Drill,136,3
Bran Van 3000,1780,3
Brand New,45326,25
Brandi Carlile,1143,2
Brandon Flowers,51,3
Brandy,228,3
Brant Bjork,67,2
Brazilian Girls,3421,7
Bread,55,1
Breakage,17,1
Breakbeat Era,345,1
Breakbot,1134,1
Breaking Benjamin,35776,13
Breakout,54,1
Breathe,1462,1
Breathe Carolina,12535,10
Brenda Holloway,65,1
Brenda Lee,34,1
Brendan Perry,703,6
Brett Dennen,17843,7
Brewer & Shipley,139,1
Brian Crain,96,1
Brian Eno,974,8
Brian Eno & David Byrne,733,5
Brian Hyland,129,1
Brian McKnight,33,1
Brian Wilson,794,8
Bright Eyes,39412,20
Brigitte Bardot,602,1
Brigitte Fontaine,1,1
Bring Me the Horizon,3866,4
British Sea Power,1703,8
Britney Spears,11795,20
Britta Persson,39,1
Broadcast,3573,20
Broder Daniel,22,1
Brodka,174,1
Broken Bells,292,3
Broken Social Scene,43036,37
Brokencyde,5248,4
Bronski Beat,241,1
Brooke Fraser,805,1
Brooke Hogan,21,1
Brookes Brothers,560,2
Brooks & Dunn,24540,6
Brother Ali,824,1
Brother Firetribe,25,1
Brotherhood of Man,249,1
Brothers Johnson,451,1
Bruce Adler,26,1
Bruce Dickinson,160,3
Bruce Springsteen,19842,22
Brujeria,70,2
Bruno Coulais,484,1
Bruno Mars,112,5
Bryan Adams,2110,4
Bryan Ferry,1,1
Buck-O-Nine,661,2
Buckcherry,1070,2
Buckethead,1837,10
Buddy Guy,765,2
Buddy Holly,431,4
Buddy Rich,88,1
Buena Vista Social Club,2804,4
Buffalo Springfield,807,5
Built to Spill,504,4
Buju Banton,1129,3
Bullet for My Valentine,60522,18
Bullion,38,1
Bungle,31672,1
Bunny Wailer,87,1
Buraka Som Sistema,76,2
Burial,11070,14
Burning Spear,1740,5
Burning Witch,13,1
Burt Bacharach,7,1
Bury Tomorrow,36,1
Burzum,2036,19
Busdriver,135,1
Bush,490,4
Busta Rhymes,4794,2
Busted,42,1
Busy P,243,1
Busy Signal,322,1
Butterfly Boucher,407,1
Butthole Surfers,10619,10
Buzzcocks,411,5
Bénabar,168,2
Böhse Onkelz,201,1
C+C Music Factory,84,1
C-Bool,65,1
C2C,22,2
C418,323,4
CHON,140,2
CHVRCHES,2013,6
CKY,15286,8
CUBISMO GRAFICO,3,1
Ca$his,121,1
Cabaret Voltaire,31,1
Cabas,691,1
Cadacross,43,3
Caesars,8864,5
Caetano Veloso,206,1
Café Tacvba,1387,2
Cage the Elephant,32069,7
Cajun Dance Party,392,1
Cake,65493,38
Calexico,3858,10
Caliban,4927,6
Callaghan,644,1
Calle 13,5061,1
Calogero,274,2
Calvin Harris,10298,15
Calyx & TeeBee,728,2
